Ontology ID	OccO Label	Skills
OCCO:19303200	industrial-organizational psychologists	Reading Comprehension|Active Listening|Speaking|Judgment and Decision Making|Complex Problem Solving|Writing
OCCO:19303400	school psychologists	Active Listening|Social Perceptiveness|Reading Comprehension|Writing|Speaking|Monitoring
OCCO:19304100	sociologists	Reading Comprehension|Writing|Social Perceptiveness|Active Listening|Speaking|Critical Thinking
OCCO:19305100	urban and regional planners	Reading Comprehension|Active Listening|Speaking|Judgment and Decision Making|Critical Thinking|Systems Analysis
OCCO:19309200	geographers	Writing|Speaking|Reading Comprehension|Critical Thinking|Active Listening|Judgment and Decision Making
OCCO:19309300	historians	Reading Comprehension|Critical Thinking|Writing|Active Listening|Speaking|Active Learning
OCCO:19309400	political scientists	Reading Comprehension|Speaking|Critical Thinking|Writing|Complex Problem Solving|Social Perceptiveness
OCCO:19309901	transportation planners	Reading Comprehension|Writing|Speaking|Judgment and Decision Making|Critical Thinking|Systems Evaluation
OCCO:19401200	agricultural technicians	Reading Comprehension|Writing|Critical Thinking|Complex Problem Solving|Active Listening|Monitoring
OCCO:19401201	precision agriculture technicians	Reading Comprehension|Critical Thinking|Active Listening|Speaking|Active Learning|Writing
OCCO:19401300	food science technicians	Reading Comprehension|Active Listening|Writing|Speaking|Science|Critical Thinking
OCCO:19402100	biological technicians	Reading Comprehension|Science|Critical Thinking|Active Listening|Complex Problem Solving|Active Learning
OCCO:19403100	chemical technicians	Science|Reading Comprehension|Critical Thinking|Monitoring|Writing|Active Listening
OCCO:19404200	"environmental science and protection technicians, including health"	Active Listening|Reading Comprehension|Critical Thinking|Speaking|Writing|Science
OCCO:19405102	nuclear monitoring technicians	Monitoring|Critical Thinking|Active Listening|Reading Comprehension|Operation Monitoring|Speaking
OCCO:19406100	social science research assistants	Reading Comprehension|Active Listening|Writing|Critical Thinking|Complex Problem Solving|Speaking
OCCO:19407100	forest and conservation technicians	Critical Thinking|Active Listening|Reading Comprehension|Speaking|Judgment and Decision Making|Social Perceptiveness
OCCO:19409200	forensic science technicians	Writing|Speaking|Reading Comprehension|Critical Thinking|Active Listening|Complex Problem Solving
OCCO:19409901	quality control analysts	Quality Control Analysis|Reading Comprehension|Active Listening|Monitoring|Complex Problem Solving|Writing
OCCO:19409903	remote sensing technicians	Critical Thinking|Speaking|Reading Comprehension|Mathematics|Systems Analysis|Monitoring
OCCO:19501100	occupational health and safety specialists	Speaking|Critical Thinking|Complex Problem Solving|Active Listening|Reading Comprehension|Judgment and Decision Making
OCCO:19501200	occupational health and safety technicians	Speaking|Reading Comprehension|Active Listening|Critical Thinking|Writing|Monitoring
OCCO:21101100	substance abuse and behavioral disorder counselors	Speaking|Social Perceptiveness|Active Listening|Reading Comprehension|Critical Thinking|Service Orientation
OCCO:21101300	marriage and family therapists	Active Listening|Social Perceptiveness|Speaking|Service Orientation|Judgment and Decision Making|Writing
OCCO:21101400	mental health counselors	Active Listening|Social Perceptiveness|Speaking|Service Orientation|Writing|Monitoring
